Time,Power Consumption (kW),Power Generation (kW),Power Surplus (kW)
00:06:50,1.11,0.0,-1.11
00:06:55,0.88,0.0,-0.88
00:07:00,1.29,0.0,-1.29
00:07:05,0.54,0.0,-0.54
00:07:10,0.75,0.0,-0.75
00:07:15,0.86,0.0,-0.86
00:07:20,0.82,0.0,-0.82
00:07:25,1.01,0.0,-1.01
00:07:30,1.36,0.0,-1.36
00:07:35,0.75,0.0,-0.75
00:07:40,0.84,0.0,-0.84
00:07:45,0.62,0.0,-0.62
00:07:50,0.64,0.0,-0.64
00:07:55,1.23,0.0,-1.23
00:08:00,1.47,0.0,-1.47
00:08:05,0.57,0.0,-0.57
00:08:10,1.49,0.0,-1.49
00:08:15,1.42,0.0,-1.42
00:08:20,0.7,0.0,-0.7
00:08:25,0.78,0.0,-0.78
00:08:30,1.32,0.0,-1.32
00:08:35,1.08,0.0,-1.08
00:08:40,1.34,0.0,-1.34
00:08:45,1.03,0.0,-1.03
00:08:50,0.64,0.0,-0.64
00:08:55,0.92,0.0,-0.92
00:09:00,1.12,0.0,-1.12
00:09:05,0.88,0.0,-0.88
00:09:10,1.23,0.0,-1.23
00:09:15,1.08,0.0,-1.08
00:09:20,0.62,0.0,-0.62
00:09:25,1.22,0.0,-1.22
00:09:30,1.11,0.0,-1.11
00:09:35,0.98,0.0,-0.98
00:09:40,0.55,0.0,-0.55
00:09:45,0.92,0.0,-0.92
00:09:50,1.44,0.0,-1.44
00:09:55,1.23,0.0,-1.23
00:10:00,0.84,0.0,-0.84
00:10:05,0.65,0.0,-0.65
00:10:10,0.9,0.0,-0.9
00:10:15,0.98,0.0,-0.98
00:10:20,1.17,0.0,-1.17
00:10:25,0.95,0.0,-0.95
00:10:30,0.93,0.0,-0.93
00:10:35,0.8,0.0,-0.8
00:10:40,0.74,0.0,-0.74
00:10:45,1.49,0.0,-1.49
00:10:50,0.5,0.0,-0.5
00:10:55,0.84,0.0,-0.84
00:11:00,1.26,0.0,-1.26
00:11:05,1.17,0.0,-1.17
00:11:10,1.31,0.0,-1.31
00:11:15,1.49,0.0,-1.49
00:11:20,0.68,0.0,-0.68
00:11:25,1.15,0.0,-1.15
00:11:30,1.17,0.0,-1.17
00:11:35,0.77,0.0,-0.77
00:11:40,1.4,0.0,-1.4
00:11:45,1.17,0.0,-1.17
00:11:50,0.9,0.0,-0.9
00:11:55,0.62,0.0,-0.62
00:12:00,0.86,0.0,-0.86
00:12:05,0.87,0.0,-0.87
00:12:10,1.01,0.0,-1.01
00:12:15,1.16,0.0,-1.16
00:12:20,1.34,0.0,-1.34
00:12:25,0.98,0.0,-0.98
00:12:30,1.03,0.0,-1.03
00:12:35,0.55,0.0,-0.55
00:12:40,1.04,0.0,-1.04
00:12:45,1.28,0.0,-1.28
00:12:50,1.13,0.0,-1.13
00:12:55,1.17,0.0,-1.17
00:13:00,1.41,0.0,-1.41
00:13:05,1.39,0.0,-1.39
00:13:10,1.07,0.0,-1.07
00:13:15,0.53,0.0,-0.53
00:13:20,1.18,0.0,-1.18
00:13:25,1.32,0.0,-1.32
00:13:30,1.19,0.0,-1.19
00:13:35,0.8,0.0,-0.8
00:13:40,1.27,0.0,-1.27
00:13:45,1.12,0.0,-1.12
00:13:50,0.76,0.0,-0.76
00:13:55,1.48,0.0,-1.48
00:14:00,1.35,0.0,-1.35
00:14:05,0.64,0.0,-0.64
00:14:10,0.93,0.0,-0.93
00:14:15,1.21,0.0,-1.21
00:14:20,1.28,0.0,-1.28
00:14:25,0.55,0.0,-0.55
00:14:30,1.25,0.0,-1.25
00:14:35,0.53,0.0,-0.53
00:14:40,0.57,0.0,-0.57
00:14:45,0.97,0.0,-0.97
00:14:50,1.24,0.0,-1.24
00:14:55,1.01,0.0,-1.01
00:15:00,1.08,0.0,-1.08
00:15:05,0.73,0.0,-0.73
00:15:10,0.88,0.0,-0.88
00:15:15,0.62,0.0,-0.62
00:15:20,1.39,0.0,-1.39
00:15:25,0.95,0.0,-0.95
00:15:30,0.59,0.0,-0.59
00:15:35,0.59,0.0,-0.59
00:15:40,1.39,0.0,-1.39
00:15:45,0.68,0.0,-0.68
00:15:50,1.17,0.0,-1.17
00:15:55,0.57,0.0,-0.57
00:16:00,0.68,0.0,-0.68
00:16:05,0.73,0.0,-0.73
00:16:10,1.14,0.0,-1.14
00:16:15,1.38,0.0,-1.38
00:16:20,1.43,0.0,-1.43
00:16:25,1.45,0.0,-1.45
00:16:30,1.35,0.0,-1.35
00:16:35,1.35,0.0,-1.35
00:16:40,1.07,0.0,-1.07
00:16:45,1.06,0.0,-1.06
00:16:50,1.22,0.0,-1.22
00:16:55,0.81,0.0,-0.81
00:17:00,0.8,0.0,-0.8
00:17:05,0.54,0.0,-0.54
00:17:10,0.76,0.0,-0.76
00:17:15,1.33,0.0,-1.33
00:17:20,1.37,0.0,-1.37
00:17:25,0.84,0.0,-0.84
00:17:30,0.58,0.0,-0.58
00:17:35,1.18,0.0,-1.18
00:17:40,1.35,0.0,-1.35
00:17:45,1.42,0.0,-1.42
00:17:50,0.8,0.0,-0.8
00:17:55,0.99,0.0,-0.99
00:18:00,1.04,0.0,-1.04
00:18:05,0.74,0.0,-0.74
00:18:10,1.14,0.0,-1.14
00:18:15,1.3,0.0,-1.3
00:18:20,1.0,0.0,-1.0
00:18:25,0.7,0.0,-0.7
00:18:30,1.49,0.0,-1.49
00:18:35,0.66,0.0,-0.66
00:18:40,0.92,0.0,-0.92
00:18:45,1.46,0.0,-1.46
00:18:50,0.94,0.0,-0.94
00:18:55,0.95,0.0,-0.95
00:19:00,1.38,0.0,-1.38
00:19:05,0.93,0.0,-0.93
00:19:10,1.05,0.0,-1.05
00:19:15,0.69,0.0,-0.69
00:19:20,1.37,0.0,-1.37
00:19:25,1.32,0.0,-1.32
00:19:30,0.7,0.0,-0.7
00:19:35,0.56,0.0,-0.56
00:19:40,0.97,0.0,-0.97
00:19:45,1.17,0.0,-1.17
00:19:50,1.16,0.0,-1.16
00:19:55,1.46,0.0,-1.46
00:20:00,0.58,0.0,-0.58
00:20:05,1.13,0.0,-1.13
00:20:10,1.18,0.0,-1.18
00:20:15,0.98,0.0,-0.98
00:20:20,0.73,0.0,-0.73
00:20:25,1.21,0.0,-1.21
00:20:30,1.23,0.0,-1.23
00:20:35,1.22,0.0,-1.22
00:20:40,0.99,0.0,-0.99
00:20:45,1.39,0.0,-1.39
00:20:50,1.04,0.0,-1.04
00:20:55,0.57,0.0,-0.57
00:21:00,0.86,0.0,-0.86
00:21:05,0.69,0.0,-0.69
00:21:10,0.66,0.0,-0.66
00:21:15,0.55,0.0,-0.55
00:21:20,1.17,0.0,-1.17
00:21:25,1.31,0.0,-1.31
00:21:30,1.09,0.0,-1.09
00:21:35,0.65,0.0,-0.65
00:21:40,1.12,0.0,-1.12
00:21:45,0.59,0.0,-0.59
00:21:50,1.11,0.0,-1.11
00:21:55,1.38,0.0,-1.38
00:22:00,0.69,0.0,-0.69
00:22:05,0.6,0.0,-0.6
00:22:10,0.61,0.0,-0.61
00:22:15,0.66,0.0,-0.66
00:22:20,1.5,0.0,-1.5
00:22:25,1.23,0.0,-1.23
00:22:30,0.55,0.0,-0.55
00:22:35,1.42,0.0,-1.42
00:22:40,0.98,0.0,-0.98
00:22:45,0.95,0.0,-0.95
00:22:50,1.31,0.0,-1.31
00:22:55,0.99,0.0,-0.99
00:23:00,1.29,0.0,-1.29
00:23:05,1.2,0.0,-1.2
00:23:10,0.88,0.0,-0.88
00:23:15,1.1,0.0,-1.1
00:23:20,1.22,0.0,-1.22
00:23:25,1.14,0.0,-1.14
00:23:30,1.46,0.0,-1.46
00:23:35,0.9,0.0,-0.9
00:23:40,0.68,0.0,-0.68
00:23:45,0.66,0.0,-0.66
00:23:50,0.54,0.0,-0.54
00:23:55,0.51,0.0,-0.51
00:24:00,1.01,0.0,-1.01
00:24:05,0.68,0.0,-0.68
00:24:10,0.58,0.0,-0.58
00:24:15,0.66,0.0,-0.66
00:24:20,1.09,0.0,-1.09
00:24:25,0.66,0.0,-0.66
00:24:30,0.97,0.0,-0.97
00:24:35,1.37,0.0,-1.37
00:24:40,1.4,0.0,-1.4
00:24:45,0.51,0.0,-0.51
00:24:50,1.08,0.0,-1.08
00:24:55,0.55,0.0,-0.55
00:25:00,1.27,0.0,-1.27
00:25:05,1.15,0.0,-1.15
00:25:10,0.82,0.0,-0.82
00:25:15,1.09,0.0,-1.09
00:25:20,1.2,0.0,-1.2
00:25:25,0.78,0.0,-0.78
00:25:30,0.86,0.0,-0.86
00:25:35,1.06,0.0,-1.06
00:25:40,0.88,0.0,-0.88
00:25:45,1.2,0.0,-1.2
00:25:50,1.28,0.0,-1.28
00:25:55,1.05,0.0,-1.05
00:26:00,1.48,0.0,-1.48
00:26:05,0.85,0.0,-0.85
00:26:10,1.48,0.0,-1.48
00:26:15,0.76,0.0,-0.76
00:26:20,0.63,0.0,-0.63
00:26:25,0.9,0.0,-0.9
00:26:30,0.92,0.0,-0.92
00:26:35,0.6,0.0,-0.6
00:26:40,1.01,0.0,-1.01
00:26:45,1.03,0.0,-1.03
00:26:50,0.94,0.0,-0.94
00:26:55,0.68,0.0,-0.68
00:27:00,1.34,0.0,-1.34
00:27:05,0.94,0.0,-0.94
00:27:10,0.54,0.0,-0.54
00:27:15,0.67,0.0,-0.67
00:27:20,0.99,0.0,-0.99
00:27:25,0.79,0.0,-0.79
00:27:30,1.19,0.0,-1.19
00:27:35,0.55,0.0,-0.55
00:27:40,1.17,0.0,-1.17
00:27:45,0.99,0.0,-0.99
00:27:50,0.77,0.0,-0.77
00:27:55,1.37,0.0,-1.37
00:28:00,1.13,0.0,-1.13
00:28:05,1.48,0.0,-1.48
00:28:10,1.16,0.0,-1.16
00:28:15,0.56,0.0,-0.56
00:28:20,1.35,0.0,-1.35
00:28:25,1.07,0.0,-1.07
00:28:30,1.36,0.0,-1.36
00:28:35,0.93,0.0,-0.93
00:28:40,1.12,0.0,-1.12
00:28:45,0.97,0.0,-0.97
00:28:50,0.84,0.0,-0.84
00:28:55,1.33,0.0,-1.33
00:29:00,0.6,0.0,-0.6
00:29:05,1.49,0.0,-1.49
00:29:10,1.42,0.0,-1.42
00:29:15,0.69,0.0,-0.69
00:29:20,0.9,0.0,-0.9
00:29:25,0.83,0.0,-0.83
00:29:30,0.8,0.0,-0.8
00:29:35,1.5,0.0,-1.5
00:29:40,1.05,0.0,-1.05
00:29:45,0.78,0.0,-0.78
00:29:50,0.86,0.0,-0.86
00:29:55,0.63,0.0,-0.63
00:30:00,1.23,0.0,-1.23
00:30:05,0.81,0.0,-0.81
00:30:10,0.54,0.0,-0.54
00:30:15,1.15,0.0,-1.15
00:30:20,0.85,0.0,-0.85
00:30:25,1.39,0.0,-1.39
00:30:30,1.41,0.0,-1.41
00:30:35,1.16,0.0,-1.16
00:30:40,0.99,0.0,-0.99
00:30:45,1.4,0.0,-1.4
00:30:50,0.6,0.0,-0.6
00:30:55,1.48,0.0,-1.48
00:31:00,1.12,0.0,-1.12
00:31:05,0.96,0.0,-0.96
00:31:10,0.72,0.0,-0.72
00:31:15,1.38,0.0,-1.38
00:31:20,0.61,0.0,-0.61
00:31:25,1.16,0.0,-1.16
00:31:30,0.93,0.0,-0.93
00:31:35,0.89,0.0,-0.89
00:31:40,1.06,0.0,-1.06
00:31:45,0.97,0.0,-0.97
00:31:50,0.61,0.0,-0.61
00:31:55,0.77,0.0,-0.77
00:32:00,1.46,0.0,-1.46
00:32:05,0.96,0.0,-0.96
00:32:10,1.02,0.0,-1.02
00:32:15,0.69,0.0,-0.69
00:32:20,0.68,0.0,-0.68
00:32:25,1.38,0.0,-1.38
00:32:30,0.53,0.0,-0.53
00:32:35,1.01,0.0,-1.01
00:32:40,0.99,0.0,-0.99
00:32:45,0.82,0.0,-0.82
00:32:50,1.41,0.0,-1.41
00:32:55,0.96,0.0,-0.96
00:33:00,0.56,0.0,-0.56
00:33:05,1.32,0.0,-1.32
00:33:10,0.89,0.0,-0.89
00:33:15,1.31,0.0,-1.31
00:33:20,0.86,0.0,-0.86
00:33:25,1.28,0.0,-1.28
00:33:30,1.25,0.0,-1.25
00:33:35,0.67,0.0,-0.67
00:33:40,0.6,0.0,-0.6
00:33:45,1.08,0.0,-1.08
00:33:50,1.47,0.0,-1.47
00:33:55,0.74,0.0,-0.74
00:34:00,0.55,0.0,-0.55
00:34:05,0.95,0.0,-0.95
00:34:10,1.26,0.0,-1.26
00:34:15,0.61,0.0,-0.61
00:34:20,0.53,0.0,-0.53
00:34:25,1.37,0.0,-1.37
00:34:30,0.63,0.0,-0.63
00:34:35,1.45,0.0,-1.45
00:34:40,0.78,0.0,-0.78
00:34:45,0.65,0.0,-0.65
00:34:50,0.62,0.0,-0.62
00:34:55,1.1,0.0,-1.1
00:35:00,0.7,0.0,-0.7
00:35:05,1.49,0.0,-1.49
00:35:10,1.2,0.0,-1.2
00:35:15,1.33,0.0,-1.33
00:35:20,1.4,0.0,-1.4
00:35:25,1.42,0.0,-1.42
00:35:30,0.64,0.0,-0.64
00:35:35,1.14,0.0,-1.14
00:35:40,0.79,0.0,-0.79
00:35:45,1.14,0.0,-1.14
00:35:50,1.13,0.0,-1.13
00:35:55,0.94,0.0,-0.94
00:36:00,1.37,0.0,-1.37
00:36:05,1.02,0.0,-1.02
00:36:10,0.63,0.0,-0.63
00:36:15,0.65,0.0,-0.65
00:36:20,0.61,0.0,-0.61
00:36:25,1.05,0.0,-1.05
00:36:30,1.27,0.0,-1.27
00:36:35,1.29,0.0,-1.29
00:36:40,0.66,0.0,-0.66
00:36:45,1.01,0.0,-1.01
00:36:50,0.75,0.0,-0.75
00:36:55,1.01,0.0,-1.01
00:37:00,0.59,0.0,-0.59
00:37:05,1.27,0.0,-1.27
00:37:10,0.7,0.0,-0.7
00:37:15,0.87,0.0,-0.87
00:37:20,1.29,0.0,-1.29
00:37:25,0.75,0.0,-0.75
00:37:30,1.02,0.0,-1.02
00:37:35,1.24,0.0,-1.24
00:37:40,0.86,0.0,-0.86
00:37:45,1.06,0.0,-1.06
00:37:50,0.55,0.0,-0.55
00:37:55,0.59,0.0,-0.59
00:38:00,1.18,0.0,-1.18
00:38:05,0.95,0.0,-0.95
00:38:10,0.82,0.0,-0.82
00:38:15,0.74,0.0,-0.74
00:38:20,1.19,0.0,-1.19
00:38:25,1.35,0.0,-1.35
00:38:30,1.28,0.0,-1.28
00:38:35,1.31,0.0,-1.31
00:38:40,1.18,0.0,-1.18
00:38:45,1.0,0.0,-1.0
00:38:50,1.21,0.0,-1.21
00:38:55,0.94,0.0,-0.94
00:39:00,1.06,0.0,-1.06
00:39:05,1.47,0.0,-1.47
00:39:10,0.59,0.0,-0.59
00:39:15,0.51,0.0,-0.51
00:39:20,1.41,0.0,-1.41
00:39:25,0.74,0.0,-0.74
00:39:30,0.89,0.0,-0.89
00:39:35,0.76,0.0,-0.76
00:39:40,1.18,0.0,-1.18
00:39:45,1.15,0.0,-1.15
00:39:50,0.68,0.0,-0.68
00:39:55,1.39,0.0,-1.39
00:40:00,1.13,0.0,-1.13
00:40:05,1.25,0.0,-1.25
00:40:10,1.27,0.0,-1.27
00:40:15,0.87,0.0,-0.87
00:40:20,1.11,0.0,-1.11
00:40:25,0.73,0.0,-0.73
00:40:30,0.92,0.0,-0.92
00:40:35,1.26,0.0,-1.26
00:40:40,0.85,0.0,-0.85
00:40:45,1.07,0.0,-1.07
00:40:50,1.41,0.0,-1.41
00:40:55,1.27,0.0,-1.27
00:41:00,0.83,0.0,-0.83
00:41:05,1.04,0.0,-1.04
00:41:10,1.11,0.0,-1.11
00:41:15,1.29,0.0,-1.29
00:41:20,0.64,0.0,-0.64
00:41:25,0.79,0.0,-0.79
00:41:30,0.87,0.0,-0.87
00:41:35,1.29,0.0,-1.29
00:41:40,1.46,0.0,-1.46
00:41:45,1.3,0.0,-1.3
00:41:50,0.58,0.0,-0.58
00:41:55,1.45,0.0,-1.45
00:42:00,1.11,0.0,-1.11
00:42:05,1.11,0.0,-1.11
00:42:10,0.67,0.0,-0.67
00:42:15,1.27,0.0,-1.27
00:42:20,0.96,0.0,-0.96
00:42:25,0.72,0.0,-0.72
00:42:30,0.77,0.0,-0.77
00:42:35,0.61,0.0,-0.61
00:42:40,1.18,0.0,-1.18
00:42:45,1.12,0.0,-1.12
00:42:50,0.87,0.0,-0.87
00:42:55,0.79,0.0,-0.79
00:43:00,0.65,0.0,-0.65
00:43:05,1.07,0.0,-1.07
00:43:10,0.89,0.0,-0.89
00:43:15,0.61,0.0,-0.61
00:43:20,1.28,0.0,-1.28
00:43:25,0.54,0.0,-0.54
00:43:30,0.89,0.0,-0.89
00:43:35,1.05,0.0,-1.05
00:43:40,1.2,0.0,-1.2
00:43:45,0.93,0.0,-0.93
00:43:50,1.08,0.0,-1.08
00:43:55,0.86,0.0,-0.86
00:44:00,1.5,0.0,-1.5
00:44:05,0.94,0.0,-0.94
00:44:10,1.43,0.0,-1.43
00:44:15,1.39,0.0,-1.39
00:44:20,0.7,0.0,-0.7
00:44:25,1.02,0.0,-1.02
00:44:30,0.67,0.0,-0.67
00:44:35,1.15,0.0,-1.15
00:44:40,1.09,0.0,-1.09
00:44:45,1.0,0.0,-1.0
00:44:50,0.99,0.0,-0.99
00:44:55,1.08,0.0,-1.08
00:45:00,0.56,0.0,-0.56
00:45:05,0.53,0.0,-0.53
00:45:10,1.42,0.0,-1.42
00:45:15,1.15,0.0,-1.15
00:45:20,0.66,0.0,-0.66
00:45:25,1.39,0.0,-1.39
00:45:30,0.55,0.0,-0.55
00:45:35,0.98,0.0,-0.98
00:45:40,0.75,0.0,-0.75
00:45:45,0.54,0.0,-0.54
00:45:50,1.47,0.0,-1.47
00:45:55,1.05,0.0,-1.05
00:46:00,1.26,0.0,-1.26
00:46:05,0.97,0.0,-0.97
00:46:10,1.13,0.0,-1.13
00:46:15,1.14,0.0,-1.14
00:46:20,1.34,0.0,-1.34
00:46:25,1.18,0.0,-1.18
00:46:30,1.14,0.0,-1.14
00:46:35,1.29,0.0,-1.29
00:46:40,0.91,0.0,-0.91
00:46:45,0.74,0.0,-0.74
00:46:50,0.66,0.0,-0.66
00:46:55,0.85,0.0,-0.85
00:47:00,1.18,0.0,-1.18
00:47:05,1.2,0.0,-1.2
00:47:10,1.32,0.0,-1.32
00:47:15,0.97,0.0,-0.97
00:47:20,1.27,0.0,-1.27
00:47:25,0.96,0.0,-0.96
00:47:30,1.44,0.0,-1.44
00:47:35,1.26,0.0,-1.26
00:47:40,1.48,0.0,-1.48
00:47:45,0.75,0.0,-0.75
00:47:50,0.6,0.0,-0.6
00:47:55,0.52,0.0,-0.52
00:48:00,1.31,0.0,-1.31
00:48:05,0.87,0.0,-0.87
00:48:10,1.42,0.0,-1.42
00:48:15,0.64,0.0,-0.64
00:48:20,0.59,0.0,-0.59
00:48:25,0.54,0.0,-0.54
00:48:30,1.38,0.0,-1.38
00:48:35,0.83,0.0,-0.83
00:48:40,0.55,0.0,-0.55
00:48:45,1.21,0.0,-1.21
00:48:50,0.91,0.0,-0.91
00:48:55,1.04,0.0,-1.04
00:49:00,1.05,0.0,-1.05
00:49:05,0.63,0.0,-0.63
00:49:10,1.29,0.0,-1.29
00:49:15,0.5,0.0,-0.5
00:49:20,0.69,0.0,-0.69
00:49:25,0.68,0.0,-0.68
00:49:30,0.82,0.0,-0.82
00:49:35,0.96,0.0,-0.96
00:49:40,1.38,0.0,-1.38
00:49:45,0.96,0.0,-0.96
00:49:50,1.22,0.0,-1.22
00:49:55,0.99,0.0,-0.99
00:50:00,0.77,0.0,-0.77
00:50:05,1.23,0.0,-1.23
00:50:10,1.1,0.0,-1.1
00:50:15,0.83,0.0,-0.83
00:50:20,0.8,0.0,-0.8
00:50:25,1.34,0.0,-1.34
00:50:30,0.55,0.0,-0.55
00:50:35,1.28,0.0,-1.28
00:50:40,0.54,0.0,-0.54
00:50:45,1.45,0.0,-1.45
00:50:50,0.97,0.0,-0.97
00:50:55,0.83,0.0,-0.83
00:51:00,1.02,0.0,-1.02
00:51:05,1.22,0.0,-1.22
00:51:10,1.38,0.0,-1.38
00:51:15,0.75,0.0,-0.75
00:51:20,0.95,0.0,-0.95
00:51:25,0.99,0.0,-0.99
00:51:30,1.44,0.0,-1.44
00:51:35,0.87,0.0,-0.87
00:51:40,0.74,0.0,-0.74
00:51:45,1.17,0.0,-1.17
00:51:50,1.32,0.0,-1.32
00:51:55,1.47,0.0,-1.47
00:52:00,1.21,0.0,-1.21
00:52:05,1.22,0.0,-1.22
00:52:10,1.35,0.0,-1.35
00:52:15,0.93,0.0,-0.93
00:52:20,1.09,0.0,-1.09
00:52:25,1.48,0.0,-1.48
00:52:30,1.44,0.0,-1.44
00:52:35,0.56,0.0,-0.56
00:52:40,1.02,0.0,-1.02
00:52:45,1.28,0.0,-1.28
00:52:50,0.84,0.0,-0.84
00:52:55,0.95,0.0,-0.95
00:53:00,0.86,0.0,-0.86
00:53:05,0.57,0.0,-0.57
00:53:10,1.34,0.0,-1.34
00:53:15,1.05,0.0,-1.05
00:53:20,0.93,0.0,-0.93
00:53:25,1.1,0.0,-1.1
00:53:30,1.49,0.0,-1.49
00:53:35,1.11,0.0,-1.11
00:53:40,1.14,0.0,-1.14
00:53:45,0.71,0.0,-0.71
00:53:50,1.4,0.0,-1.4
00:53:55,1.38,0.0,-1.38
00:54:00,1.26,0.0,-1.26
00:54:05,1.48,0.0,-1.48
00:54:10,1.36,0.0,-1.36
00:54:15,1.13,0.0,-1.13
00:54:20,0.73,0.0,-0.73
00:54:25,1.14,0.0,-1.14
00:54:30,0.85,0.0,-0.85
00:54:35,0.78,0.0,-0.78
00:54:40,0.84,0.0,-0.84
00:54:45,1.09,0.0,-1.09
00:54:50,1.04,0.0,-1.04
00:54:55,1.49,0.0,-1.49
00:55:00,1.23,0.0,-1.23
00:55:05,0.73,0.0,-0.73
00:55:10,0.69,0.0,-0.69
00:55:15,0.7,0.0,-0.7
00:55:20,0.87,0.0,-0.87
00:55:25,0.73,0.0,-0.73
00:55:30,1.32,0.0,-1.32
00:55:35,0.76,0.0,-0.76
00:55:40,1.04,0.0,-1.04
00:55:45,0.99,0.0,-0.99
00:55:50,0.7,0.0,-0.7
00:55:55,1.44,0.0,-1.44
00:56:00,0.83,0.0,-0.83
00:56:05,1.33,0.0,-1.33
00:56:10,1.18,0.0,-1.18
00:56:15,1.3,0.0,-1.3
00:56:20,1.23,0.0,-1.23
00:56:25,1.25,0.0,-1.25
00:56:30,1.0,0.0,-1.0
00:56:35,1.02,0.0,-1.02
00:56:40,0.98,0.0,-0.98
00:56:45,0.71,0.0,-0.71
00:56:50,0.99,0.0,-0.99
00:56:55,1.4,0.0,-1.4
00:57:00,0.91,0.0,-0.91
00:57:05,1.29,0.0,-1.29
00:57:10,1.45,0.0,-1.45
00:57:15,1.14,0.0,-1.14
00:57:20,1.3,0.0,-1.3
00:57:25,1.09,0.0,-1.09
00:57:30,1.25,0.0,-1.25
00:57:35,0.94,0.0,-0.94
00:57:40,0.62,0.0,-0.62
00:57:45,1.33,0.0,-1.33
00:57:50,0.74,0.0,-0.74
00:57:55,0.71,0.0,-0.71
00:58:00,1.25,0.0,-1.25
00:58:05,1.26,0.0,-1.26
00:58:10,0.63,0.0,-0.63
00:58:15,0.78,0.0,-0.78
00:58:20,1.01,0.0,-1.01
00:58:25,1.37,0.0,-1.37
00:58:30,1.04,0.0,-1.04
00:58:35,0.87,0.0,-0.87
00:58:40,0.82,0.0,-0.82
00:58:45,0.53,0.0,-0.53
00:58:50,0.88,0.0,-0.88
00:58:55,0.98,0.0,-0.98
00:59:00,1.32,0.0,-1.32
00:59:05,1.26,0.0,-1.26
00:59:10,0.69,0.0,-0.69
00:59:15,1.37,0.0,-1.37
00:59:20,0.63,0.0,-0.63
00:59:25,0.77,0.0,-0.77
00:59:30,0.57,0.0,-0.57
00:59:35,1.49,0.0,-1.49
00:59:40,1.09,0.0,-1.09
00:59:45,0.7,0.0,-0.7
00:59:50,0.65,0.0,-0.65
00:59:55,0.87,0.0,-0.87
01:00:00,1.0,0.0,-1.0
01:00:05,1.32,0.0,-1.32
01:00:10,0.91,0.0,-0.91
01:00:15,0.99,0.0,-0.99
01:00:20,1.29,0.0,-1.29
01:00:25,1.18,0.0,-1.18
01:00:30,0.9,0.0,-0.9
01:00:35,0.7,0.0,-0.7
01:00:40,0.59,0.0,-0.59
01:00:45,0.71,0.0,-0.71
01:00:50,1.07,0.0,-1.07
01:00:55,1.23,0.0,-1.23
01:01:00,1.29,0.0,-1.29
